award,first_year,last_year,n_years,unique_winners
All-Star Game Most Valuable Player,1,10,8,7
Coach of the Year,1,10,10,8
Defensive Player of the Year,1,10,10,5
Kim Perrot Sportsmanship,10,10,1,1
Kim Perrot Sportsmanship Award,1,9,9,9
Most Improved Player,1,10,8,9
Most Valuable Player,1,10,10,5
Rookie of the Year,1,10,10,10
Sixth Woman of the Year,8,10,3,3
WNBA All Decade Team Honorable Mention,7,7,1,5
WNBA All-Decade Team,7,7,1,10
WNBA Finals Most Valuable Player,1,10,10,9
