conference,tmID,predicted_wins,predicted_win_pct,rank
WNBA,PHO,21.0,0.6235921107293044,1.0
WNBA,CON,19.0,0.5566221512692535,2.0
WNBA,IND,19.0,0.5596743801678148,2.0
WNBA,LAS,19.0,0.564176561434141,2.0
WNBA,SAS,19.0,0.5604111638776412,2.0
WNBA,SEA,19.0,0.5532560816839006,2.0
WNBA,DET,18.0,0.5408987754492197,3.0
WNBA,ATL,17.0,0.5119702658517717,4.0
WNBA,NYL,17.0,0.5063610985440181,4.0
WNBA,CHI,16.0,0.45697469165649407,5.0
WNBA,MIN,15.0,0.4546674055539149,6.0
WNBA,SAC,15.0,0.427379751426255,6.0
WNBA,WAS,14.0,0.4197318830705856,7.0
